"date","Sleep.Score","Total.Sleep.Duration","Total.Bedtime","Awake.Time","REM.Sleep.Duration","Light.Sleep.Duration","Deep.Sleep.Duration","Bedtime.Start","Bedtime.End"
"2022-03-14",75,25800,30300,4500,5670,11520,8610,"2022-03-14T01:04:32.000+01:00","2022-03-14T09:29:32.000+01:00"
"2022-03-15",71,24810,30660,5850,3990,14040,6780,"2022-03-15T00:51:51.000+01:00","2022-03-15T09:22:51.000+01:00"
"2022-03-16",67,23700,28020,4320,5550,11460,6690,"2022-03-16T02:08:52.000+01:00","2022-03-16T09:55:52.000+01:00"
"2022-03-17",65,19890,23520,3630,1470,11550,6870,"2022-03-16T23:33:43.000+01:00","2022-03-17T06:05:43.000+01:00"
"2022-03-18",62,21330,25800,4470,5640,12210,3480,"2022-03-18T02:05:41.000+01:00","2022-03-18T09:15:41.000+01:00"
"2022-03-19",49,13590,17340,3750,3060,5220,5310,"2022-03-19T10:27:53.000+01:00","2022-03-19T15:16:53.000+01:00"
"2022-03-20",43,16410,27780,11370,3120,9720,3570,"2022-03-20T09:39:48.000+01:00","2022-03-20T17:22:48.000+01:00"
"2022-03-21",85,31020,39420,8400,6120,14310,10590,"2022-03-20T23:04:36.000+01:00","2022-03-21T10:01:36.000+01:00"
"2022-03-22",58,24300,32700,8400,4140,16860,3300,"2022-03-22T00:36:18.000+01:00","2022-03-22T09:41:18.000+01:00"
"2022-03-23",72,25320,29160,3840,6270,12030,7020,"2022-03-23T02:02:55.000+01:00","2022-03-23T10:08:55.000+01:00"
"2022-03-24",60,22320,29700,7380,4500,11670,6150,"2022-03-24T01:22:29.000+01:00","2022-03-24T09:37:29.000+01:00"
"2022-03-25",69,23760,27600,3840,6930,7920,8910,"2022-03-25T07:45:47.000+01:00","2022-03-25T15:25:47.000+01:00"
"2022-03-26",62,21030,30600,9570,6300,6600,8130,"2022-03-26T08:07:29.000+01:00","2022-03-26T16:37:29.000+01:00"
"2022-03-27",83,32550,35460,2910,7440,14610,10500,"2022-03-27T01:27:52.000+02:00","2022-03-27T11:18:52.000+02:00"
"2022-03-28",72,27870,32280,4410,3810,16110,7950,"2022-03-28T01:05:41.000+02:00","2022-03-28T10:03:41.000+02:00"
"2022-03-29",69,24840,30060,5220,5070,11850,7920,"2022-03-29T01:49:04.000+02:00","2022-03-29T10:10:04.000+02:00"
"2022-03-30",72,26430,31500,5070,5430,14130,6870,"2022-03-30T01:23:07.000+02:00","2022-03-30T10:08:07.000+02:00"
"2022-03-31",78,28110,35040,6930,5760,14550,7800,"2022-03-31T00:22:53.000+02:00","2022-03-31T10:06:53.000+02:00"
"2022-04-01",66,23310,30900,7590,4920,13530,4860,"2022-04-01T01:22:32.000+02:00","2022-04-01T09:57:32.000+02:00"
"2022-04-02",57,20460,25140,4680,10650,7500,2310,"2022-04-02T06:04:33.000+02:00","2022-04-02T13:03:33.000+02:00"
"2022-04-03",68,24270,28020,3750,5460,11160,7650,"2022-04-03T03:35:30.000+02:00","2022-04-03T11:22:30.000+02:00"
"2022-04-04",64,20550,23700,3150,5400,9060,6090,"2022-04-04T05:01:28.000+02:00","2022-04-04T11:36:28.000+02:00"
"2022-04-05",58,21990,28320,6330,6240,12810,2940,"2022-04-05T04:31:18.000+02:00","2022-04-05T12:23:18.000+02:00"
"2022-04-06",54,16590,19500,2910,3960,8670,3960,"2022-04-06T04:34:32.000+02:00","2022-04-06T09:59:32.000+02:00"
"2022-04-07",72,24030,27300,3270,4650,10530,8850,"2022-04-07T01:22:39.000+02:00","2022-04-07T08:57:39.000+02:00"
"2022-04-08",61,18870,21360,2490,5100,8310,5460,"2022-04-08T04:08:30.000+01:00","2022-04-08T10:04:30.000+01:00"
"2022-04-09",58,19710,23400,3690,2760,8130,8820,"2022-04-09T06:03:32.000+01:00","2022-04-09T12:33:32.000+01:00"
"2022-04-10",66,22680,27060,4380,5790,8340,8550,"2022-04-10T03:34:31.000+01:00","2022-04-10T11:05:31.000+01:00"
"2022-04-11",55,14550,17760,3210,5160,7110,2280,"2022-04-11T06:26:39.000+01:00","2022-04-11T11:22:39.000+01:00"
"2022-04-12",82,30630,34320,3690,6660,15000,8970,"2022-04-12T01:04:40.000+02:00","2022-04-12T10:36:40.000+02:00"
"2022-04-13",74,28650,35340,6690,6240,16890,5520,"2022-04-13T00:50:29.000+02:00","2022-04-13T10:39:29.000+02:00"
"2022-04-14",65,23820,30840,7020,6780,12960,4080,"2022-04-14T07:24:03.000+02:00","2022-04-14T15:58:03.000+02:00"
"2022-04-15",74,26640,30180,3540,6120,14130,6390,"2022-04-15T03:16:26.000+02:00","2022-04-15T11:39:26.000+02:00"
"2022-04-16",73,27390,34740,7350,4320,16590,6480,"2022-04-16T01:52:16.000+02:00","2022-04-16T11:31:16.000+02:00"
"2022-04-17",53,16290,19080,2790,3750,5400,7140,"2022-04-17T07:30:28.000+02:00","2022-04-17T12:48:28.000+02:00"
"2022-04-18",72,29040,35040,6000,3720,19680,5640,"2022-04-18T01:20:17.000+02:00","2022-04-18T11:04:17.000+02:00"
"2022-04-19",81,30150,35520,5370,6390,17790,5970,"2022-04-18T23:58:12.000+02:00","2022-04-19T09:50:12.000+02:00"
"2022-04-20",77,27690,35160,7470,5580,13860,8250,"2022-04-20T00:22:39.000+02:00","2022-04-20T10:08:39.000+02:00"
"2022-04-21",73,25380,31320,5940,3990,12840,8550,"2022-04-21T01:08:00.000+02:00","2022-04-21T09:50:00.000+02:00"
"2022-04-22",65,20430,23520,3090,7500,7350,5580,"2022-04-22T04:50:16.000+02:00","2022-04-22T11:22:16.000+02:00"
"2022-04-23",73,22110,28200,6090,6120,8220,7770,"2022-04-23T07:47:51.000+02:00","2022-04-23T15:37:51.000+02:00"
